Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc1543,Johann Sebastian Bach,Toccatas,Bob van Asperen,Ogg Vorbis -q 5,New York Public Library,2010-08-28,solo harpsichord toccatas 18th-century,
mc1544,John Dowland,Lute Lessons,Nigel North,Ogg Vorbis -q 5,New York Public Library,2010-08-28,lute solo 17th-century,
mc1545,Various,English & Italian Renaissance Madrigals,The Hilliard Ensemble,Ogg Vorbis -q 5,New York Public Library,2010-08-27,madrigals 15th-century 16th-century choral,
mc1546,Arcangelo Corelli,"Violin Sonatas, op. 5, nos. 1--6","Lucy van Dael, Bob van Asperen",Ogg Vorbis -q 5,New York Public Library,2010-08-29,chamber 17th-century sonatas naxos,
mc1547,"Dieterich Buxtehude, Nicholas Bruhns","Buxtehude: Organ Works 5, Bruhns: Complete Organ Works",Ton Koopman,Ogg Vorbis -q 5,New York Public Library,2010-08-30,organ 17th-century,
mc1548,Dieterich Buxtehude,"Vocal Music, vol. 1","Emma Kirkby, et al",Ogg Vorbis -q 5,New York Public Library,2010-08-30,vocal cantatas 17th-century,
mc1549,George Frideric Handel,"Alexander's Feast, HWV 75","English Baroque Soloists, Monteverdi Choir, John Eliot Gardiner, et al",Ogg Vorbis -q 5,New York Public Library,2010-08-30,oratorios 18th-century,
mc1550,Johann Krebs,Complete Organ Works,John Kitchen,FLAC,BitTorrent,2018-03-11,organ box-sets 18th-century,
mc1551,Johann Sebastian Bach,"Italienisches Konzert; etc.",Kenneth Gilbert,Ogg Vorbis -q 5,New York Public Library,2010-08-30,harpsichord 18th-century solo,MISSING. Check backups.
mc1552,Johann Sebastian Bach,"Goldberg Variations, BWV 988",Maggie Cole,Ogg Vorbis -q 5,New York Public Library,2010-08-31,variations harpsichord solo 18th-century,
mc1553,Marin Marais,Pièces de Viole,"Jérôme Hantaï, Pierre Hantaï, Alix Verzier",Ogg Vorbis -q 5,New York Public Library,2010-08-29,chamber suites 17th-century,Good recording.
mc1554,George Frideric Handel,"Semele, HWV 58","English Baroque Soloists, Monteverdi Choir, John Eliot Gardiner, et al",Ogg Vorbis -q 5,New York Public Library,2010-08-31,oratorios 18th-century,
mc1555,Joëlle Léandre & Pascal Contet,3,Joëlle Léandre & Pascal Contet,FLAC,BitTorrent,2016-12-29,chamber improvisation 2010s,
mc1556,Lou Harrison,"Trio, Double Concerto","The Mills College Gamelan Ensemble, Kenneth Goldsmith, Terry King, et al",Ogg Vorbis -q 5,New York Public Library,2010-09-01,orchestral chamber gamelan 20th-century,
mc1557,Joseph Haydn,Complete Symphonies,"Austro-Hungarian Haydn Orchestra, Adam Fischer",Ogg Vorbis -q 5,BitTorrent,2010-07,symphonies 18th-century box-sets brilliant-classics orchestral,
mc1558,Henry Purcell,Twelve Sonatas of Three Parts,The King's Consort,FLAC,BitTorrent,2018-10-19,chamber 17th-century sonatas,
mc1559,Hespèrion XXI,Bailar Cantando: Fiesta mestiza en el Perú,"Hespèrion XXI, Jordi Savall, et al",FLAC,Monroe County Library,2018-11-13,peru renaissance 2010s,
mc1560,Capilla Flamenca,"Adriaen Willaert: Vespro della Beata Vergine","Capilla Flamenca, Joris Verdin, Dirk Snellings",FLAC,Monroe County Library,2013-04-09,choral vespers 16th-century,
mc1561,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1",Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo preludes fugues 18th-century,
mc1562,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 2",Masaaki Suzuki,Ogg Vorbis -q 8,Friend's collection,2010-09-02,harpsichord preludes fugues 18th-century,
mc1563,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1",Scott Ross,FLAC,BitTorrent,2014-01-15,harpsichord preludes fugues 18th-century,
mc1564,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 2",Scott Ross,FLAC,BitTorrent,2014-01-15,harpsichord preludes fugues 18th-century,
mc1565,Toru Takemitsu,A Flock Descends into the Pentagonal Garden (and other orchestral works),"Bournemouth Symphony Orchestra, Marin Alsop",FLAC,Monroe County Library,2022-11-02,orchestral 20th-century naxos,
mc1566,Johann Sebastian Bach,"Italienisches Konzert, BWV 971; Chromatische Fantasie und Fuge, BWV 903; etc.",Scott Ross,FLAC,BitTorrent,2010-10,solo harpsichord 18th-century fugues,
mc1567,Toru Takemitsu,Quotation of Dream (and other orchestral works),"London Sinfonietta, Oliver Knussen, et al",FLAC,Monroe County Library,2022-11-02,orchestral 20th-century deutsche-grammophon,
mc1568,Dieterich Buxtehude,Abendmusiken,"Ensemble Masques, Vox Luminis",FLAC,Monroe County Library,2018-11-13,choral sonatas 17th-century,
mc1569,Leroy Carr & Scrapper Blackwell,"Carr & Blackwell, vol. 1: 1928--1934","Leroy Carr, Scrapper Blackwell, et al",FLAC,BitTorrent,2019-07-16,blues box-sets jsp 1920s 1930s,
mc1570,Steve Reich,Pulse / Quartet,"International Contemporary Ensemble, Colin Currie Group",FLAC,Monroe County Library,2018-11-13,orchestral chamber 2010s,
mc1571,Sungjae Son,Near East Quartet,"Sungjae Son, et al",FLAC,Monroe County Library,2018-11-13,jazz improvisation korea 2010s ecm,
mc1572,Johann Sebastian Bach,"Die Kunst der Fuge, BWV 1080",Pierre-Laurent Aimard,FLAC,BitTorrent,2010-10-11,piano solo fugues canons 18th-century,
mc1573,Thelonious Monk,Brilliant Corners,"Thelonious Monk, et al",FLAC,BitTorrent,2010-10,jazz 1950s riverside,
mc1574,Keith Jarrett,At the Blue Note,Keith Jarrett Standards Trio,MP3,BitTorrent,2018-12-11,jazz live 1990s ecm,
mc1575,John Coltrane with the Red Garland Trio,Traneing In,"John Coltrane, Red Garland, et al",FLAC,BitTorrent,2018-12-17,jazz 1950s prestige,
mc1576,John Coltrane Quintet with Eric Dolphy,The Complete 1962 Birdland Broadcasts,"John Coltrane Quartet, Eric Dolphy, et al",FLAC,BitTorrent,2018-12-23,live jazz 1960s,
mc1577,Wes Montgomery,Smokin' at the Half Note,"Wes Montgomery, et al",FLAC,BitTorrent,2010-10,live jazz 1960s,
mc1578,John Coltrane,Crescent,John Coltrane Quartet,FLAC,BitTorrent,2018-12-23,jazz impulse 1960s,
mc1579,Ludwig van Beethoven,"Diabelli Variations, op. 120",Piotr Anderszewski,FLAC,BitTorrent,2010-09,piano solo variations 19th-century,
mc1580,John Coltrane,Kulu Sé Mama,"John Coltrane Quartet, Juno Lewis, et al",FLAC,BitTorrent,2018-12-23,jazz 1960s vocal impulse,
mc1581,John Coltrane,Meditations,"John Coltrane, et al",FLAC,BitTorrent,2018-12-23,jazz 1960s impulse,
mc1582,Kenny Burrell,Midnight Blue,"Kenny Burrell, et al",FLAC,Monroe County Library,2013-04-17,jazz blues 1960s blue-note,
mc1583,Johann Sebastian Bach,"Goldberg Variations, BWV 988",Rosalyn Tureck,FLAC,BitTorrent,2010-10-19,piano variations solo 18th-century,
mc1584,Musica Antiqua of London,A Royal Songbook: Spanish Music from the Time of Columbus,"Musica Antiqua of London; Thorby, Philip",FLAC,Monroe County Library,2013-04-17,songs 15th-century 16th-century,
mc1585,"Jean-Philippe Rameau, Johann Sebastian Bach, François Couperin","Rameau, Bach, Couperin",Alexandre Tharaud,FLAC,Monroe County Library,2013-04-17,solo piano 18th-century 17th-century,
mc1586,Alban Berg,"Kammerkonzert, Violinkonzert","Isaac Stern, et al",FLAC,Monroe County Library,2013-04-23,concertos 20th-century orchestral,
mc1587,"John Taverner, et al",Taverner and Tudor Music 1,"Ars Nova Copenhagen, Paul Hillier",FLAC,Monroe County Library,2013-04-23,choral masses motets 15th-century 16th-century,
mc1588,Woody Shaw,In My Own Sweet Way,"Woody Shaw, et al",FLAC,Monroe County Library,2013-04-30,jazz 1980s,
mc1589,Joseph Haydn,The Piano Sonatas,John McCabe,FLAC,BitTorrent,2010-10,box-sets piano solo sonatas 18th-century,
mc1590,Lee Morgan,Take Twelve,"Lee Morgan, et al",FLAC,Monroe County Library,2013-04-30,jazz 1960s riverside,
mc1591,Robert Fayrfax,"Missa Tecum principium, Music for Recorders, Maria plena virtute","The Cardinall's Music, The Frideswide Consort, Andrew Carwood",FLAC,Monroe County Library,2013-05-01,masses 16th-century choral consort,
mc1592,Joe Henderson,"The State of the Tenor, vols. 1 & 2","Joe Henderson, Ron Carter, Al Foster",FLAC,BitTorrent,2015-02-22,jazz live 1980s blue-note,
mc1593,John Coltrane,The John Coltrane Quartet Plays,John Coltrane Quartet,FLAC,BitTorrent,2018-12-23,jazz 1960s impulse,
mc1594,John Coltrane,Stardust,"John Coltrane, Wilbur Harden, et al",FLAC,BitTorrent,2018-12-23,jazz 1950s prestige hdtracks,
mc1595,John Coltrane,Sun Ship,John Coltrane Quartet,FLAC,BitTorrent,2018-12-23,jazz 1960s impulse,
mc1596,The Band,The Band,The Band,FLAC,BitTorrent,2015-12-09,rock country folk 1960s hdtracks,
mc1597,Albert King & Stevie Ray Vaughn,In Session,"Albert King, Stevie Ray Vaughn, et al",FLAC,BitTorrent,2010-10,blues rock 1980s,
mc1598,Andrew Hill,Mosaic Select: Andrew Hill Solo,Andrew Hill,FLAC,BitTorrent,2017-01-07,piano solo compilations jazz 1970s,
mc1599,Miles Davis & Milt Jackson,Complete Recordings,"Miles Davis, Milt Jackson, et al",FLAC,BitTorrent,2010-11,jazz 1950s compilations,
mc1600,Wolfgang Amadeus Mozart,Symphonies nos. 40 & 41,"Wiener Philharmonic, Leonard Bernstein",FLAC,BitTorrent,2010-10,symphonies orchestral 18th-century deutsche-grammophone,
mc1601,Soft Machine,Fifth,Soft Machine,FLAC,BitTorrent,2010-10,jazz 1970s fusion,
mc1602,Ray Charles,The Complete Swing Time & Atlantic Recordings 1948--1959,"Ray Charles, et al",FLAC,BitTorrent,2017-01-11,blues rnb jazz rock 1940s 1950s box-sets,
mc1603,Miles Davis,Dark Magus,"Miles Davis, et al",FLAC,BitTorrent,2010-11,live jazz rock funk fusion ambient 1970s,
mc1604,Magic Sam,West Side Soul,"Magic Sam, et al",FLAC,BitTorrent,2010-11,blues rock soul 1960s,
mc1605,Junior Wells's Chicago Blues Band,Hoodoo Man Blues,"Junior Wells, Buddy Guy, et al",FLAC,BitTorrent,2010-11,blues funk rock 1960s,
mc1606,John Coltrane,Ballads (Deluxe Edition),John Coltrane Quartet,FLAC,BitTorrent,2018-12-24,jazz impulse 1960s,
mc1607,Kenny Burrell & John Coltrane,Kenny Burrell & John Coltrane,Kenny Burrell & John Coltrane,FLAC,BitTorrent,2018-12-29,jazz prestige 1950s,
mc1608,John Coltrane,Bahia,"John Coltrane, et al",FLAC,BitTorrent,2018-12-29,jazz prestige 1950s,
mc1609,John Coltrane,Offering: Live at Temple University,"John Coltrane, et al",FLAC,BitTorrent,2018-12-29,live jazz 1960s impulse,
mc1610,Various,The Paramount Masters,Various,FLAC,BitTorrent,2015-08-15,blues 1920s 1930s jsp box-sets,
mc1611,Johann Sebastian Bach,Sonatas & Partitas for Solo Violin,Christian Tetzlaff,FLAC,BitTorrent,2010-10,violin solo 18th-century,
mc1612,Wolfgang Amadeus Mozart,Complete String Quartets,Quartetto Italiano,FLAC,BitTorrent,2010-10,chamber string-quartets 18th-century,From the Philips Mozart Edition.
mc1613,Steve Reich,"The Four Sections; Music for Mallet Instruments, Voices, and Organ","London Symphony Orchestra, Michael Tilson Thomas, Steve Reich & Musicians",FLAC,Personal collection,2021-08-29,1980s orchestral ensemble,
mc1614,Giovanni Pandolfi,Sonatas for Violin & Continuo,Andrew Manze & Richard Egarr,FLAC,New York Public Library,2010-11-27,sonatas chamber 17th-century,
mc1615,Johann Sebastian Bach,Sonatas & Partitas for solo violin,Jascha Heifetz,Ogg Vorbis -q 5,New York Public Library,2010-11-26,chamber 18th-century violin solo,
mc1616,Lennie Tristano,Live at the Confucius Restaurant 1955,"Lennie Tristano, et al",FLAC,New York Public Library,2010-11-26,live jazz 1950s,
mc1617,Reggie Workman Ensemble,Synthesis,"Reggie Workman, et al",FLAC,New York Public Library,2010-11-26,jazz 1980s,
mc1618,Various,Piano Music of the Darmstadt School,Steffan Schleiermacher,FLAC,New York Public Library,2010-11-25,piano solo 20th-century,"Includes works by Olivier Messiaen, Karlheinz Stockhausen, Aldo Clementi, Pierre Boulez, and others."
mc1619,Lalmani Misra,India: Vicitra Vīṇā,"Lalmani Misra, Ishwar Lal Misra, Carolyn Tewari",FLAC,BitTorrent,2017-02-05,india chamber 1970s,
mc1620,"Béla Bartók, György Ligeti, György Kurtág","Bartók: 44 Duos, Ligeti: Ballad & Dance, Kurtág: Ligatura",András Keller & János Pilz,FLAC,New York Public Library,2010-11-27,chamber 20th-century ecm,
mc1621,Anonymous,Carmina Burana Vols. 3 & 4,"New London Consort, Philip Pickett",FLAC,Monroe County Library,2023-02-22,medieval songs,
mc1622,"Anton Webern, Alban Berg",Chamber Music of Anton Webern & Alban Berg,"Arditti Quartet, et al",FLAC,New York Public Library,2010-11-25,chamber 20th-century,
mc1623,Clifford Brown & Max Roach,At Basin Street,"Clifford Brown, Max Roach, et al",FLAC,New York Public Library,2010-11-26,jazz 1950s,
mc1624,Domenico Scarlatti,32 Sonatas,Fou Ts'ong,FLAC,New York Public Library,2010-11-24,piano sonatas solo 18th-century,
mc1625,Eric Dolphy,"In Europe, vol. 1","Eric Dolphy, et al",FLAC,New York Public Library,2010-11-24,jazz live 1960s prestige,
mc1626,Felix Mendelssohn,Symphonies nos. 1 & 5,"Radio-Sinfonieorchester Stuttgart des SWR, Roger Norrington",FLAC and Opus,New York Public Library,2010-11-24,symphonies orchestral 19th-century,
mc1627,Grant Green,Sunday Morning,"Grant Green, et al",FLAC,BitTorrent,2017-02-20,jazz blue-note 1960s,
mc1628,Frederic Rzewski,The People United Will Never Be Defeated!,Marc-André Hamelin,FLAC,New York Public Library,2010-11-25,piano solo variations 20th-century,
mc1629,Johann Sebastian Bach,Cello Suites (viola),Lillian Fuchs,FLAC,New York Public Library,2010-11-26,solo viola arrangements 18th-century,
mc1630,Johann Sebastian Bach,"Cello Suites; Viola da gamba sonatas, BWV 1027 & 1028","János Starker, György Sebők",FLAC,New York Public Library,2010-11-26,suites sonatas cello 18th-century,
mc1631,Johann Sebastian Bach,"Brandenburg Concertos, etc.","Academy of Ancient Music, Christopher Hogwood",FLAC,New York Public Library,2010-11-25,concertos 18th-century,
mc1632,Various,Les Voix Humaines,Jordi Savall,FLAC,New York Public Library,2010-11-25,viola-da-gamba 18th-century 17th-century solo,"Includes works by Johann Sebastian Bach, Marin Marais, Mr. de Sainte-Colombe le Fils, and others."
mc1633,Kenny Burrell,Prestige Profiles,"Kenny Burrell, et al",FLAC,New York Public Library,2010-11-24,compilations jazz 1950s prestige,
mc1634,Lee Morgan,Sonic Boom,"Lee Morgan, et al",FLAC,New York Public Library,2010-11-24,jazz 1960s blue-note,
mc1635,Ludwig van Beethoven,"Septet, op. 20; Trio, op. 11",Ensemble Walter Boeykens,FLAC,New York Public Library,2010-11-25,chamber 19th-century,
mc1636,"Ludwig van Beethoven, Franz Schubert","Beethoven: Sonatas, Rondo; Schubert: Rondo",Yehudi Menuhin & Hephzibah Menuhin,FLAC,New York Public Library,2010-11-25,chamber 19th-century naxos-historical,
mc1637,Mika Takehara,Thirteen Drums,Mika Takehara,FLAC,New York Public Library,2010-11-24,percussion solo 2000s bis,
mc1638,Paul Bley & Gary Peacock,Partners,Paul Bley & Gary Peacock,FLAC,New York Public Library,2010-11-26,jazz 1980s,
mc1639,Sylvius Leopold Weiss,"Sonatas for Lute, vol. 1",Robert Barto,FLAC,New York Public Library,2010-11-25,solo lute sonatas 18th-century naxos,
mc1642,Dave Brubeck,Jazz Impressions of New York,Dave Brubeck Quartet,FLAC,BitTorrent,2010-11,jazz 1950s columbia,
mc1643,Dave Brubeck Quartet,Time Further Out: Miro Reflections,Dave Brubeck Quartet,FLAC,BitTorrent,2016-11-26,jazz 1950s columbia,
mc1644,Anton Bruckner,Symphony no. 7,"Radio-Sinfonieorchester Stuttgart des SWR, Roger Norrington",FLAC,New York Public Library,2010-12-23,orchestral symphonies 19th-century,
mc1645,Antonio Vivaldi,Concerti per Violino III,"I Barocchisti, Diego Fasolis, et al",FLAC,New York Public Library,2011-01-04,concertos 18th-century violin,
mc1646,Antonio Vivaldi,Double Concertos,"Venice Baroque Orchestra, et al",FLAC,New York Public Library,2010-12-19,concertos violin 18th-century,
mc1648,George Frideric Handel,The Complete Sonatas for Recorder & Continuo,"Hugo Reyne, et al",FLAC,sonatas chamber 18th-century,2020-02-01,,
mc1649,Philip Glass,"Music in Fifths, Two Pages",Bang on a Can,FLAC,BitTorrent,2020-03-28,20th-century chamber,
mc1650,Johann Sebastian Bach,Brandenburg Concertos,"Academy of Ancient Music, Richard Egarr",FLAC,New York Public Library,2010-12-12,concertos 18th-century,
mc1651,Gene Ammons,Boss Tenor,"Gene Ammons, et al",FLAC,BitTorrent,2019-01-01,jazz 1960s prestige,
mc1652,Béla Bartók,"Concertos, Rhapsodies, 44 Duos, Sonata","Yehudi Menuhin, et al",FLAC,New York Public Library,2010-12-14,orchestral concertos chamber 20th-century,
mc1653,Johann Sebastian Bach,"Brandenburg Concertos; etc.","Swiss Baroque Soloists, Andrés Gabetta",FLAC,New York Public Library,2010-12-23,concertos 18th-century naxos,
mc1654,Dexter Gordon,Dexter Calling,"Dexter Gordon, et al",FLAC,BitTorrent,2017-02-20,jazz 1960s blue-note,"Includes works by Girolamo Frescobaldi, Domenico Scarlatti, Jacques Duphly, and others."
mc1655,Various,Harpsichord Recital,Bob van Asperen,FLAC,New York Public Library,2010-12-24,harpsichord solo 17th-century 18th-century,
mc1656,Charles Ives,"Piano Sonata no. 2, Songs","Pierre-Laurent Aimard, Susan Graham, et al",FLAC,New York Public Library,2010-12-09,chamber songs sonatas 20th-century,
mc1657,Charles Lloyd,The Water Is Wide,"Charles Lloyd, et al",FLAC,New York Public Library,2010-12-19,jazz 2000s ecm,
mc1658,Morton Feldman,String Quartet no. 1,Group for Contemporary Music,FLAC,Monroe County Library,2013-05-09,chamber string-quartets 20th-century naxos,
mc1659,Cipriano de Rore,"Missa Praeter Rerum Seriem, Motets","The Tallis Scholars, Peter Phillips",FLAC,New York Public Library,2010-12-24,masses choral 16th-century,
mc1660,Dieterich Buxtehude,"Seven Sonatas, op. 1","John Holloway, Jaap ter Linden, Lars Ulrik Mortensen",FLAC,New York Public Library,2011-01-06,sonatas chamber 17th-century naxos,
mc1662,Duke Ellington,New Orleans Suite,Duke Ellington Orchestra,FLAC,New York Public Library,2010-12-31,jazz suites 1970s,
mc1663,Lee Morgan,Indeed!,"Lee Morgan, et al",FLAC,BitTorrent,2017-02-20,jazz blue-note 1950s,
mc1664,Enríquez de Valderrábano,Silva de Sirenas,"Armoniosi Consort, Carlos Mena",FLAC,New York Public Library,2010-12-24,chamber vihuela 16th-century,
mc1665,Various,Decameron: Ballate monodiques de l'Ars Nova Florentine,Esther Lamandier,FLAC,New York Public Library,2010-12-30,14th-century songs instrumental,
mc1666,Felix Mendelssohn,Psaumes & Motets,"RIAS-Kammerchor, Marcus Creed",FLAC,New York Public Library,2010-12-24,motets choral a-capella 19th-century,
mc1667,Felix Mendelssohn,Paulus,"Das Neue Orchester, Chorus Musicus Köln, Christoph Spering, et al",FLAC,New York Public Library,2010-12-24,oratorios 19th-century,
mc1668,Felix Mendelssohn,The Piano Trios,Florestan Trio,FLAC,New York Public Library,2010-12-11,chamber 19th-century,
mc1669,Franz Schubert,"Music for Piano Duet, vol. 1","Christoph Eschenbach, Justus Frantz",FLAC,New York Public Library,2010-12-19,piano-duet piano chamber 19th-century,
mc1670,Frédéric Chopin,Complete Nocturnes,Elisabeth Leonskaja,FLAC,New York Public Library,2010-12-23,piano solo 19th-century,
mc1671,Frédéric Chopin,Late Works for Piano,Stephen Hough,FLAC,New York Public Library,2010-12-31,piano solo 19th-century,
mc1672,Georg Böhm,"Works for Organ, vol. 1",Christiaan Teeuwsen,FLAC,New York Public Library,2011-01-03,organ solo 17th-century naxos,
mc1673,George Frideric Handel,"Athalia, HWV 52","Collegium Cartusianum, Kölner Kammerchor, Peter Neumann, et al",FLAC,New York Public Library,2010-12-15,oratorios 18th-century,
mc1674,George Frideric Handel,Complete Violin Sonatas,Andrew Manze & Richard Egarr,FLAC,New York Public Library,2010-12-10,sonatas chamber 18th-century,
mc1675,George Frideric Handel,Neun Deutsche Arien,"Arleen Augér, et al",FLAC,New York Public Library,2010-12-29,songs chamber 18th-century,
mc1676,George Frideric Handel,"Susanna, HWV 66","Collegium Cartusianum, Kölner Kammerchor, Peter Neumann, et al",FLAC,New York Public Library,2010-12-29,oratorios 18th-century,Minor ripping noise.
mc1677,Georges Bizet,"Symphony, Petite Suite, Roma","Orchestre de Paris, Paavo Järvi",FLAC,New York Public Library,2010-12-30,orchestral symphonies suites 19th-century,
mc1678,Georg Philipp Telemann,Recorder Sonatas & Fantasias,"Franz Brüggen, Anner Bylsma, Gustav Leonhardt",FLAC,New York Public Library,2010-12-29,chamber sonatas recorder 18th-century,
mc1679,Georg Philipp Telemann,String Concertos,"Musica Antiqua Köln, Reinhard Goebel",FLAC,New York Public Library,2011-01-04,concertos 18th-century,
mc1680,Georg Philipp Telemann,"Wassermusik, Concertos, & Overtures","New London Consort, Philip Pickett, et al",FLAC,New York Public Library,2011-01-05,concertos 18th-century,
mc1681,Gerry Mulligan Quartet,"Pleyel Concert, vol. 1","Gerry Mulligan, et al",FLAC,New York Public Library,2010-12-30,jazz live 1950s,
mc1682,Giovanni Pierluigi Palestrina,"Missa Ecce ego Johannes, Motets, Magnificat quarti toni","Westminster Cathedral Choir, James O'Donnell",FLAC,New York Public Library,2011-01-04,masses motets choral 16th-century,
mc1683,Orlande de Lassus,Penitential Psalms,"Hilliard Ensemble, Kees Boeke Consort, Paul Hillier",FLAC,Download,2013-05-25,choral 16th-century,
mc1685,Gustav Mahler,Das Lied von der Erde (Version Schoenberg-Riehn),"Ensemble Musique Oblique, Philippe Herreweghe, et al",FLAC,New York Public Library,2010-12-29,songs orchestral arrangements 20th-century,
mc1686,György Ligeti,String Quartets nos. 1 & 2; Andante & Allegretto,Parker Quartet,FLAC,New York Public Library,2010-12-28,chamber string-quartets 20th-century naxos,
mc1687,Hector Berlioz,"L'Enfance du Christ, op. 25","Orchestre de l'Opéra de Lyon, The Monteverdi Choir, John Eliot Gardiner, et al",FLAC,New York Public Library,2011-01-04,oratorios 19th-century,
mc1688,Heinrich Schütz,Italienische Madrigale,"Capella Lipsiensis, Dietrich Knothe",FLAC,New York Public Library,2010-12-23,madrigals choral 17th-century,
mc1689,Heinrich Schütz,Musikalische Exequien,"The Sixteen, Harry Christophers",FLAC,New York Public Library,2011-01-06,choral cantatas 17th-century,
mc1691,Henry Purcell,"Dioclesian, Timon of Athens","English Concert & Choir, Trevor Pinnock, et al",FLAC,New York Public Library,2011-01-06,operas 17th-century,
mc1692,Henry Purcell,Music for Queen Mary,"Monteverdi Choir & Orchestra, John Eliot Gardiner, et al",FLAC,New York Public Library,2011-01-04,anthems choral 17th-century,
mc1693,Hildegard von Bingen,Responsories & Antiphons,"Oxford Camerata, Jeremy Summerly",FLAC,New York Public Library,2010-12-14,choral chant 12th-century,
mc1694,Igor Stravinsky,The Rake's Progress,"London Symphony Orchestra, Monteverdi Choir, John Eliot Gardiner, et al",FLAC,New York Public Library,2010-12-17,operas 20th-century deutsche-grammophon,
mc1695,Jackie Mclean,Demon's Dance,"Jackie McLean, et al",FLAC,New York Public Library,2010-12-20,jazz 1960s blue-note,
mc1696,Jean Sibelius,"Night Ride and Sunrise, Belshazzar's Feast, etc.","New Zealand Symphony Orchestra, Pietari Inkinen",FLAC,New York Public Library,2010-12-20,orchestral tone-poems 20th-century naxos,
mc1697,Jean Sibelius,Tone Poems & Incidental Music,"Bournemouth Symphony Orchestra, Paavo Berglund",FLAC,New York Public Library,2010-12-24,orchestral 20th-century tone-poems,
mc1698,Jean Sibelius,Tone Poems,"Lahti Symphony Orchestra, Osmo Vänskä",FLAC,New York Public Library,2010-12-17,orchestral tone-poems 20th-century bis,
mc1699,"Johann Sebastian Bach, Anton Webern",Bach/Webern: Ricercar,"Münchener Kammerorchester, The Hilliard Ensemble, Christoph Poppen",FLAC,Download,2013-05-25,cantatas string-quartets fugues 18th-century 20th-century,
mc1700,Johann Sebastian Bach,"Goldberg Variations, BWV 988",Murray Perahia,Ogg Vorbis -q 5,New York Public Library,2010-12-23,solo variations piano 18th-century,
mc1701,Johann Sebastian Bach,"Mass in B minor, BWV 232","Bach Collegium Japan, Masaaki Suzuki",FLAC,New York Public Library,2011-01,masses choral 18th-century,Needs info file.
mc1702,Johann Sebastian Bach,"Partitas, BWV 825--830",Vladimir Ashkenazy,Ogg Vorbis -q 5,New York Public Library,2010-12-31,solo piano 18th-century,
mc1703,Johann Sebastian Bach,"Sonatas and Partitas, BWV 1004--1006",Isabelle Faust,Ogg Vorbis -q 5,New York Public Library,2010-12-13,solo violin 18th-century,
mc1704,"Johann Sebastian Bach, et al",The Notebook of Anna Magdalena Bach,"Igor Kipnis, et al",FLAC,New York Public Library,2010-12-24,instrumental compilations songs 18th-century,
mc1705,John Cage,"Concert for Piano & Orchestra, Credo in Us, etc.",Various,FLAC,New York Public Library,2010-12-21,concertos chamber electronic 20th-century,
mc1706,John Downland,Lute Music 2,Nigel North,FLAC,New York Public Library,2011-01-03,lute solo 16th-century 17th-century,
mc1707,"Heinrich Ignaz Franz Biber, Georg Muffat",Der Türken Anmarsch,"John Holloway, Aloysia Assenbaum, Lars Ulrik Mortensen",FLAC,New York Public Library,2011-01-04,chamber sonatas solo violin 17th-century ecm,
mc1708,Josquin des Prez,"Missa Malheur me bat, Motets","The Clerks' Group, Edward Wickham",FLAC,New York Public Library,2011-01-05,choral masses motets 15th-century gaudeamus,
mc1709,Kraftwerk,Radio-Activity,Kraftwerk,FLAC,New York Public Library,2010-12-10,rock techno 1970s,
mc1710,Krzysztof Penderecki,"Sextet, Clarinet Quartet, etc.",Various,FLAC,New York Public Library,2010-12-24,chamber 20th-century naxos,
mc1711,Krzysztof Penderecki,"Te Deum, Hymne an den heiligen Daniel, etc.","Warsaw Philharmonic Choir & Orchestra, Antoni Wit, et al",FLAC,New York Public Library,2010-12-23,choral orchestral 20th-century 2000s naxos,
mc1712,Krzysztof Penderecki,Utrenja,"Warsaw Philharmonic Choir & Orchestra, Antoni Wit, et al",FLAC,New York Public Library,2010-12-21,choral orchestral 20th-century,
mc1713,Memphis Minnie,Queen of the Country Blues,"Memphis Minnie, et al",FLAC,BitTorrent,2015-08-17,box-sets blues 1920s 1930s jsp,
mc1714,Lennie Tristano Quintet,Live in Toronto 1952,Lennie Tristano Quintet,FLAC,New York Public Library,2010-12-30,jazz live 1950s,
mc1715,Ludwig van Beethoven,Piano Concertos nos. 4 & 5,"Orchestre Symphonique de Montréal, Till Fellner, Kent Nagano",FLAC,New York Public Library,2010-12-12,concertos piano 19th-century ecm,
mc1716,Ludwig van Beethoven,Symphonies nos. 3 & 8,"Deutsche Kammerphilharmonie Bremen, Paavo Järvi",FLAC,New York Public Library,2010-12-13,orchestral symphonies 19th-century,
mc1717,Ludwig van Beethoven,Symphonies nos. 5 & 1,"Deutsche Kammerphilharmonie Bremen, Paavo Järvi",FLAC,New York Public Library,2010-12-18,orchestral symphonies 19th-century,
mc1718,Ludwig van Beethoven,Symphonies nos. 6 & 2,"Deutsche Kammerphilharmonie Bremen, Paavo Järvi",FLAC,New York Public Library,2010-12-19,orchestral symphonies 19th-century,
mc1719,Ludwig van Beethoven,Symphony no. 9,"Deutsche Kammerphilharmonie Bremen, Paavo Järvi, et al",FLAC,New York Public Library,2010-12-10,orchestral symphonies choral 19th-century,
