Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0949,Freddie Roach,Good Move!,"Freddie Roach, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-21,jazz 1960s blue-note,
mc0950,Heinrich Schütz,Johannes-Passion; Psalmen Davids,"Dresdner Kreuzchor, Capella Fidiciana, Martin Flämig, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-21,choral oratorios 17th-century,
mc0951,Jordi Savall,La Folia 1490--1701,"Jordi Savall, et al",FLAC,BitTorrent,2014-02-03,chamber renaissance baroque,
mc0952,Hespèrion XXI,Altre Follia,Hespèrion XXI,FLAC,BitTorrent,2014-02-03,renaissance baroque,
mc0953,Anthony Holborne,The Teares of the Muses 1599,"Hespèrion XXI, Jordi Savall",FLAC,BitTorrent,2014-02-03,16th-century consort-music chamber,
mc0954,Barbarito Torres,Havana Café,"Barbarito Torres, et al",MP3 320k,BitTorrent,2012,2000s cuban jazz,
mc0955,Various,Sacred Flute Music from New Guinea,Various,Ogg Vorbis -q 5,New York Public Library,2009-03-21,folk new-guinea south-pacific flute,
mc0956,Stan Getz & João Gilberto,Getz/Gilberto,"Stan Getz, João Gilberto, Astrid Gilberto, et al",FLAC,BitTorrent,2016-04-30,jazz bossa-nova 1960s verve,
mc0957,Arsenio Rodríguez,La Magia de A.R.,"Arsenio Rodríguez, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-26,cuban jazz,
mc0958,Various,Honor the Earth Powwow: Songs of the Great Lakes Indians,Various,Ogg Vorbis -q 5,New York Public Library,2009-03-21,folk native-american 1990s,
mc0959,Various,World Library of Folk & Primitive Music: Romania,Various,Ogg Vorbis -q 5,New York Public Library,2009-03-21,folk 20th-century romania,
mc0960,Various,Powwow Songs: Music of the Plains Indians,Various,Ogg Vorbis -q 5,New York Public Library,2009-03-21,folk native-american,
mc0961,Sun Ra,Love in Outer Space,Sun Ra and His Arkestra,FLAC,BitTorrent,2016-09-19,jazz free-jazz 1980s,
mc0962,Antonio Vivaldi,Concerti da Camera,Various,Ogg Vorbis -q 5,Bakalar Library,2009-04-03,chamber concertos 18th-century,
mc0963,Ferruccio Busoni,Doktor Faust,"Symphonie-Orchester & Chor des Bayerischen Rundfunks, Ferdinand Leitner, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-03,opera 20th-century,
mc0964,Ludwig van Beethoven,9 Symphonies,"Orchestre Révolutionnaire et Romantique, The Monteverdi Choir, John Eliot Gardiner, et al",Ogg Vorbis -q 5,Bakalar Library,2009-03-13,symphonies 19th-century,
mc0965,Igor Stravinsky,Divertimento; Suites; Octet,"London Sinfonietta, Riccardo Chailly",Ogg Vorbis -q 5,Bakalar Library,2009-04-03,,
mc0967,John Cage,"The Complete String Quartets, Vol. 1",Arditti Quartet,Ogg Vorbis -q 5,Bakalar Library,2009-04-03,,
mc0968,John Cage,"Works for Piano and Prepared Piano, Vol. 2",Various,Ogg Vorbis -q 5,Bakalar Library,2009-04-03,piano prepared-piano chamber solo 20th-century,
mc0969,Ludwig van Beethoven,"String Quartets, op. 18",Alban Berg Quartet,Ogg Vorbis -q 5,Bakalar Library,2009-04-03,string-quartets chamber 19th-century,
mc0970,Various,L'Orchestre de Louis XIII (Philidor MS),"Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2014-02-03,orchestral 17th-century,
mc0971,Johann Sebastian Bach,"Goldberg Variations, BWV 988 (1981 recording)",Glenn Gould,FLAC,BitTorrent,2011-12-18,18th-century variations piano solo,
mc0972,Franz Schubert,"Fantaisie, D 760; Moments musicaux, D 780; Allegretto, D 915",Paul Badura-Skoda,Ogg Vorbis -q 5,Bakalar Library,2009-04-08,solo fortepiano 19th-century,
mc0973,Franz Schubert,"Octet, D 803","Gidon Kremer, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,chamber 19th-century,
mc0974,Hector Berlioz,L'Enfance du Christ,"Eliahu Inbal, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,oratorios 19th-century,
